"Parent.Tree.Number","Vegetation.Code","Parent.Tree.Reg.Status.Code","Local.Number","Active.Ind","Tested.Ind","Breeding.Program.Ind","Selection.Date","BC.Source.Ind","Client.Number","Client.Locn.Code","Natural.Selection.Type.Code","Geographic.Location","Latitude.Degrees","Latitude.Minutes","Latitude.Seconds","Longitude.Degrees","Longitude.Minutes","Longitude.Seconds","Seed.Plan.Zone.Code","Elevation","Selection.Age","BGC.Zone.Code","BGC.Subzone.Code","BGC.Variant","Breeding.Selection.Type.Code","Female.Parent.Parent.Tree.Number","Male.Parent.Parent.Tree.Number","Parent.Tree.Comment","Latitude","Longitude"
27,"PLI","APP","SCA3","N","N","N","1970-06-24","Y",5581,0,"PT","PARSNIP R",55,56,0,123,46,0,"FIN",701,77,"SBS","",NA,"",NA,NA,"",55.9333333333333,-123.766666666667
28,"PLI","APP","SCA4","N","N","N","1970-06-24","Y",5581,0,"PT","PARSNIP R",55,50,0,123,41,0,"FIN",723,181,"SBS","",NA,"",NA,NA,"",55.8333333333333,-123.683333333333
29,"PLI","APP","SCA5","N","N","N","1970-06-26","Y",5581,0,"PT","MI75 ALAU",56,33,0,121,16,0,"HH",823,108,"SBS","",NA,"",NA,NA,"",56.55,-121.266666666667
30,"PLI","APP","SCA7","N","N","N","1970-06-30","Y",5581,0,"PT","WONOWON",56,44,0,121,47,0,"HH",914,116,"SBS","",NA,"",NA,NA,"",56.7333333333333,-121.783333333333
31,"PLI","APP","SCA9","N","N","N","1970-06-30","Y",5581,0,"PT","MI131 ALA",56,59,0,122,16,0,"HH",1067,99,"SBS","",NA,"",NA,NA,"",56.9833333333333,-122.266666666667
32,"PLI","APP","SCA10","N","N","N","1970-07-01","Y",5581,0,"PT","MI138 ALA",57,0,0,122,25,0,"HH",1128,115,"SBS","",NA,"",NA,NA,"",57,-122.416666666667
33,"PLI","APP","SCA13","N","N","N","1970-07-02","Y",5581,0,"PT","MI160 ALA",57,14,0,122,41,0,"FN",945,60,"SBS","",NA,"",NA,NA,"",57.2333333333333,-122.683333333333
34,"PLI","APP","SCA14","N","N","N","1970-07-03","Y",5581,0,"PT","MI191 ALA",57,36,0,122,57,0,"FN",1250,89,"SBS","",NA,"",NA,NA,"",57.6,-122.95
35,"PLI","APP","SCA15","N","N","N","1970-07-03","Y",5581,0,"PT","MI194 ALA",57,38,0,122,59,0,"FN",1097,77,"SBS","",NA,"",NA,NA,"",57.6333333333333,-122.983333333333
36,"PLI","APP","SCA16","N","N","N","1970-10-14","Y",5581,0,"PT","MI214 ALA",57,52,0,122,53,0,"FN",792,33,"SBS","",NA,"",NA,NA,"",57.8666666666667,-122.883333333333
37,"PLI","APP","SCA19","N","N","N","1970-07-07","Y",5581,0,"PT","MI343 ALA",58,45,0,123,37,0,"FN",549,113,"SBS","",NA,"",NA,NA,"",58.75,-123.616666666667
